Profile	TRP-H2O			
Altitude	Pres	Temp	Density	H2O
km	mb	K	cm^-3	ppmv
0	1013	299.7	2.45E+19	2.59E+04
1	904	293.7	2.23E+19	1.95E+04
2	805	287.7	2.03E+19	1.53E+04
3	715	283.7	1.83E+19	8.60E+03
4	633	277	1.66E+19	4.44E+03
5	559	270.3	1.50E+19	3.35E+03
6	492	263.6	1.35E+19	2.10E+03
7	432	257	1.22E+19	1.29E+03
8	378	250.3	1.10E+19	7.64E+02
9	329	243.6	9.79E+18	4.10E+02
10	286	237	8.75E+18	1.91E+02
11	247	230.1	7.78E+18	7.31E+01
12	213	223.6	6.90E+18	2.91E+01
13	182	217	6.08E+18	9.90E+00
14	156	210.3	5.38E+18	6.22E+00
15	132	203.7	4.70E+18	4.00E+00
16	111	197	4.08E+18	3.00E+00
17	93.7	194.8	3.49E+18	2.90E+00
18	78.9	198.8	2.88E+18	2.75E+00
19	66.6	202.7	2.38E+18	2.60E+00
20	56.5	206.7	1.98E+18	2.60E+00
21	48	210.7	1.65E+18	2.65E+00
22	40.9	214.6	1.38E+18	2.80E+00
23	35	217	1.17E+18	2.90E+00
24	30	219.2	9.92E+17	3.20E+00
25	25.7	221.4	8.41E+17	3.25E+00
27.5	17.63	227	5.62E+17	3.60E+00
30	12.2	232.3	3.81E+17	4.00E+00
32.5	8.52	237.7	2.60E+17	4.30E+00
35	6	243.1	1.79E+17	4.60E+00
37.5	4.26	248.5	1.24E+17	4.90E+00
40	3.05	254	8.70E+16	5.20E+00
42.5	2.2	259.4	6.15E+16	5.50E+00
45	1.59	264.8	4.35E+16	5.70E+00
47.5	1.16	269.6	3.12E+16	5.90E+00
50	0.854	270.2	2.29E+16	6.00E+00
55	0.456	263.4	1.26E+16	6.00E+00
60	0.239	253.1	6.84E+15	6.00E+00
65	0.121	236	3.72E+15	5.40E+00
70	0.058	218.9	1.92E+15	4.50E+00
75	0.026	201.8	9.34E+14	3.30E+00
80	0.011	184.8	4.31E+14	2.10E+00
85	4.40E-03	177.1	1.80E+14	1.30E+00
90	1.72E-03	177	7.04E+13	8.50E-01
95	6.88E-04	184.3	2.71E+13	5.40E-01
100	2.89E-04	190.7	1.10E+13	4.00E-01
105	1.30E-04	212	4.45E+12	3.40E-01
110	6.47E-05	241.6	1.94E+12	2.80E-01
115	3.60E-05	299.7	8.71E+11	2.40E-01
120	2.25E-05	380	4.23E+11	2.00E-01
