                          spheroid a/b ratio

                  |  0.33    0.50    1.00    2.00    3.00
             --------------------------------------------
             1.00 |  0.48    0.63    1.00    1.59    2.08
                  |
             2.50 |  1.20    1.57    2.50    3.97    5.20
                  |
    kr       5.00 |  2.40    3.15    5.00    7.94   10.40
 (sphere)         |
             7.50 |  3.61    4.72    7.50   11.91   15.60
                  |
            10.00 |  4.81    6.30   10.00   15.87   20.80


           table entries are ka for equal-volume spheroid

