fraction	e_atm_r	e_atm_i	e_ice_r	e_ice_imag	Mice_real	Mice_imag	e_r	e_i	M-re	M_im
0	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1	0	1	0
0.01	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.01267	-8.5266e-006	1.00631	-4.23655e-006
0.02	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.02544	-1.71981e-005	1.01264	-8.49172e-006
0.03	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.03833	-2.60174e-005	1.01898	-1.27663e-005
0.04	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.05132	-3.49872e-005	1.02534	-1.70613e-005
0.05	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.06442	-4.41104e-005	1.03171	-2.13773e-005
0.06	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.07764	-5.33901e-005	1.0381	-2.57154e-005
0.07	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.09098	-6.28293e-005	1.0445	-3.00763e-005
0.08	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.10442	-7.24312e-005	1.05092	-3.4461e-005
0.09	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.11799	-8.21988e-005	1.05735	-3.88702e-005
0.1	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.13168	-9.21355e-005	1.0638	-4.33048e-005
0.11	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.14548	-0.000102245	1.07027	-4.77657e-005
0.12	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.15941	-0.00011253	1.07676	-5.22538e-005
0.13	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.17346	-0.000122994	1.08327	-5.677e-005
0.14	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.18764	-0.000133641	1.08979	-6.13151e-005
0.15	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.20195	-0.000144475	1.09633	-6.58901e-005
0.16	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.21638	-0.000155499	1.1029	-7.04958e-005
0.17	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.23095	-0.000166718	1.10948	-7.51332e-005
0.18	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.24564	-0.000178134	1.11608	-7.98032e-005
0.19	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.26047	-0.000189753	1.12271	-8.45068e-005
0.2	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.27544	-0.000201578	1.12935	-8.92448e-005
0.21	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.29055	-0.000213614	1.13602	-9.40182e-005
0.22	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.30579	-0.000225864	1.14271	-9.88281e-005
0.23	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.32118	-0.000238334	1.14943	-0.000103675
0.24	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.33671	-0.000251028	1.15616	-0.000108561
0.25	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.35239	-0.000263951	1.16292	-0.000113486
0.26	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.36822	-0.000277107	1.16971	-0.000118451
0.27	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.38419	-0.000290501	1.17652	-0.000123458
0.28	1	0	3.17657	-0.00251743	1.78229	-0.000706234	1.40032	-0.000304138	1.18335	-0.000128507
