Profile	TRP							
Altitude	Pres	Temp	Density	H2O	O3	N2O	CO	CH4
km	mb	K	cm^-3	ppmv	ppmv	ppmv	ppmv	ppmv
0	1013	299.7	2.45E+19	2.59E+04	2.87E-02	3.20E-01	1.50E-01	1.70E+00
1	904	293.7	2.23E+19	1.95E+04	3.15E-02	3.20E-01	1.45E-01	1.70E+00
2	805	287.7	2.03E+19	1.53E+04	3.34E-02	3.20E-01	1.40E-01	1.70E+00
3	715	283.7	1.83E+19	8.60E+03	3.50E-02	3.20E-01	1.35E-01	1.70E+00
4	633	277	1.66E+19	4.44E+03	3.56E-02	3.20E-01	1.31E-01	1.70E+00
5	559	270.3	1.50E+19	3.35E+03	3.77E-02	3.20E-01	1.30E-01	1.70E+00
6	492	263.6	1.35E+19	2.10E+03	3.99E-02	3.20E-01	1.29E-01	1.70E+00
7	432	257	1.22E+19	1.29E+03	4.22E-02	3.20E-01	1.25E-01	1.70E+00
8	378	250.3	1.10E+19	7.64E+02	4.47E-02	3.20E-01	1.19E-01	1.70E+00
9	329	243.6	9.79E+18	4.10E+02	5.00E-02	3.20E-01	1.09E-01	1.69E+00
10	286	237	8.75E+18	1.91E+02	5.60E-02	3.18E-01	9.96E-02	1.69E+00
11	247	230.1	7.78E+18	7.31E+01	6.61E-02	3.14E-01	8.96E-02	1.68E+00
12	213	223.6	6.90E+18	2.91E+01	7.82E-02	3.10E-01	7.81E-02	1.66E+00
13	182	217	6.08E+18	9.90E+00	9.29E-02	3.05E-01	6.37E-02	1.65E+00
14	156	210.3	5.38E+18	6.22E+00	1.05E-01	3.00E-01	5.03E-02	1.63E+00
15	132	203.7	4.70E+18	4.00E+00	1.26E-01	2.94E-01	3.94E-02	1.61E+00
16	111	197	4.08E+18	3.00E+00	1.44E-01	2.88E-01	3.07E-02	1.58E+00
17	93.7	194.8	3.49E+18	2.90E+00	2.50E-01	2.78E-01	2.49E-02	1.55E+00
18	78.9	198.8	2.88E+18	2.75E+00	5.00E-01	2.67E-01	1.97E-02	1.52E+00
19	66.6	202.7	2.38E+18	2.60E+00	9.50E-01	2.53E-01	1.55E-02	1.48E+00
20	56.5	206.7	1.98E+18	2.60E+00	1.40E+00	2.37E-01	1.33E-02	1.42E+00
21	48	210.7	1.65E+18	2.65E+00	1.80E+00	2.19E-01	1.23E-02	1.36E+00
22	40.9	214.6	1.38E+18	2.80E+00	2.40E+00	2.05E-01	1.23E-02	1.27E+00
23	35	217	1.17E+18	2.90E+00	3.40E+00	1.97E-01	1.31E-02	1.19E+00
24	30	219.2	9.92E+17	3.20E+00	4.30E+00	1.88E-01	1.40E-02	1.12E+00
25	25.7	221.4	8.41E+17	3.25E+00	5.40E+00	1.76E-01	1.52E-02	1.06E+00
27.5	17.63	227	5.62E+17	3.60E+00	7.80E+00	1.59E-01	1.72E-02	9.87E-01
30	12.2	232.3	3.81E+17	4.00E+00	9.30E+00	1.42E-01	2.00E-02	9.14E-01
32.5	8.52	237.7	2.60E+17	4.30E+00	9.85E+00	1.17E-01	2.70E-02	8.30E-01
35	6	243.1	1.79E+17	4.60E+00	9.70E+00	9.28E-02	2.49E-02	7.46E-01
37.5	4.26	248.5	1.24E+17	4.90E+00	8.80E+00	6.69E-02	2.74E-02	6.62E-01
40	3.05	254	8.70E+16	5.20E+00	7.50E+00	4.51E-02	3.10E-02	5.64E-01
42.5	2.2	259.4	6.15E+16	5.50E+00	5.90E+00	2.75E-02	3.51E-02	4.61E-01
45	1.59	264.8	4.35E+16	5.70E+00	4.50E+00	1.59E-02	3.99E-02	3.63E-01
47.5	1.16	269.6	3.12E+16	5.90E+00	3.45E+00	9.38E-03	4.48E-02	2.77E-01
50	0.854	270.2	2.29E+16	6.00E+00	2.80E+00	4.75E-03	5.09E-02	2.10E-01
55	0.456	263.4	1.26E+16	6.00E+00	1.80E+00	3.00E-03	5.99E-02	1.65E-01
60	0.239	253.1	6.84E+15	6.00E+00	1.10E+00	2.07E-03	6.96E-02	1.50E-01
65	0.121	236	3.72E+15	5.40E+00	6.50E-01	1.51E-03	9.19E-02	1.50E-01
70	0.058	218.9	1.92E+15	4.50E+00	3.00E-01	1.15E-03	1.94E-01	1.50E-01
75	0.026	201.8	9.34E+14	3.30E+00	1.80E-01	8.89E-04	5.69E-01	1.50E-01
80	0.011	184.8	4.31E+14	2.10E+00	3.30E-01	7.06E-04	1.55E+00	1.50E-01
85	4.40E-03	177.1	1.80E+14	1.30E+00	5.00E-01	5.72E-04	3.85E+00	1.50E-01
90	1.72E-03	177	7.04E+13	8.50E-01	5.20E-01	4.71E-04	6.59E+00	1.40E-01
95	6.88E-04	184.3	2.71E+13	5.40E-01	5.00E-01	3.93E-04	1.04E+01	1.30E-01
100	2.89E-04	190.7	1.10E+13	4.00E-01	4.00E-01	3.32E-04	1.71E+01	1.20E-01
105	1.30E-04	212	4.45E+12	3.40E-01	2.00E-01	2.84E-04	2.47E+01	1.10E-01
110	6.47E-05	241.6	1.94E+12	2.80E-01	5.00E-02	2.44E-04	3.36E+01	9.50E-02
115	3.60E-05	299.7	8.71E+11	2.40E-01	5.00E-03	2.12E-04	4.15E+01	6.00E-02
120	2.25E-05	380	4.23E+11	2.00E-01	5.00E-04	1.85E-04	5.00E+01	3.00E-02
